SOC[%],U[V]
1.000000000000000000e+02,4.178940284740439992e+00
9.898991465512298760e+01,4.165141445001790288e+00
9.797984976510376498e+01,4.151725906366990237e+00
9.696973965670304096e+01,4.138502018284110129e+00
9.595964783538431675e+01,4.125853081857020044e+00
9.494954002426965189e+01,4.113587446533769842e+00
9.393946037531428317e+01,4.101130160658599699e+00
9.292936128741729362e+01,4.089056175887280098e+00
9.191926437187812837e+01,4.077173841667880438e+00
9.090916201462216861e+01,4.065483158000409603e+00
8.989904751689816464e+01,4.053984124884870255e+00
8.888895273707308320e+01,4.042676742321249961e+00
8.787884845509393017e+01,4.031561010309560267e+00
8.686876380118174268e+01,4.020636928849789626e+00
8.585866647103040350e+01,4.009904497941949586e+00
8.484857107656853259e+01,3.998980416482190048e+00
8.383846798815103796e+01,3.988247985574350007e+00
8.282836231820441242e+01,3.977515554666509967e+00
8.181825157474540333e+01,3.966783123758660157e+00
8.080814195606343731e+01,3.955667391746970019e+00
7.979804537974483480e+01,3.944168358631429783e+00
7.878794468311738797e+01,3.931902723308180025e+00
7.777783459725765169e+01,3.919062136329159785e+00
7.676772174985221397e+01,3.905454947142430022e+00
7.575762467440456760e+01,3.891656107403779874e+00
7.474751393399299104e+01,3.878815520424760077e+00
7.373742740263824658e+01,3.866549885101509876e+00
7.272732937902537742e+01,3.855817454193669835e+00
7.171721990411752756e+01,3.845276673837750181e+00
7.070711024132978650e+01,3.835694146241470204e+00
6.969700082560765964e+01,3.826494919749030110e+00
6.868690533128895481e+01,3.817870644912380040e+00
6.767680742656352777e+01,3.809438020627640142e+00
6.666670131201868799e+01,3.801197046894840170e+00
6.565660512533759174e+01,3.793147723713960140e+00
6.464650883749666832e+01,3.785673352188850149e+00
6.363642272612325712e+01,3.778198980663749929e+00
6.262631821365843621e+01,3.771107910242499806e+00
6.161624134188627977e+01,3.764208490373170068e+00
6.060613071097557736e+01,3.757500721055770043e+00
5.959601496251670483e+01,3.750984602290300174e+00
5.858590284781519841e+01,3.744660134076749802e+00
5.757579674580848206e+01,3.738527316415130031e+00
5.656568088267150785e+01,3.732777799857350143e+00
5.555558217521272724e+01,3.727219933851510181e+00
5.454548408761966982e+01,3.721853718397590161e+00
5.353537125693369347e+01,3.716679153495590082e+00
5.252527009999398189e+01,3.711696239145520160e+00
5.151517485208601244e+01,3.706713324795460007e+00
5.050508334042126535e+01,3.701922060997310027e+00
4.949497161600596939e+01,3.697322447751090202e+00
4.848487978038915713e+01,3.692722834504880147e+00
4.747477052712054046e+01,3.688314871810590034e+00
4.646466834842916427e+01,3.683906909116290151e+00
4.545456024417509866e+01,3.679690596973930194e+00
4.444447894005497091e+01,3.675090983727709926e+00
4.343435208808495673e+01,3.670874671585340199e+00
4.242424707662169681e+01,3.666658359442979798e+00
4.141414164177675872e+01,3.662250396748690129e+00
4.040403413585133308e+01,3.657842434054400016e+00
3.939392085711786251e+01,3.653434471360100133e+00
3.838381225801754226e+01,3.648834858113890078e+00
3.737371671183549893e+01,3.644043594315740098e+00
3.636361381921919644e+01,3.639252330517599887e+00
3.535350105752414152e+01,3.634269416167529965e+00
3.434339907509000511e+01,3.629286501817460042e+00
3.333329612482586413e+01,3.624495238019319832e+00
3.232319009116088893e+01,3.619320673117320197e+00
3.131307780060159018e+01,3.614337758767260045e+00
3.030294213666766012e+01,3.609354844417190122e+00
2.929282811701900258e+01,3.604563580619040142e+00
2.828273958779862340e+01,3.599580666268970219e+00
2.727263425482071568e+01,3.594981053022760165e+00
2.626252045063505847e+01,3.589806488120760086e+00
2.525243256158852390e+01,3.584440272666840066e+00
2.424234215666132641e+01,3.578690756109069948e+00
2.323225465127648803e+01,3.572557938447450177e+00
2.222215617000679444e+01,3.566041819681970093e+00
2.121204966491192323e+01,3.559525700916499780e+00
2.020195498118823352e+01,3.553201232702949852e+00
1.919185576115446779e+01,3.547068415041330081e+00
1.818175952182399513e+01,3.540552296275849997e+00
1.717166164267118944e+01,3.532886274198820065e+00
1.616155667104020566e+01,3.524836951017940034e+00
1.515146600031795643e+01,3.517362579492839814e+00
1.414136043478254301e+01,3.511996364038919793e+00
1.313126868718010876e+01,3.507780051896550066e+00
1.212116581329082621e+01,3.503755390306110051e+00
1.111106075464158494e+01,3.499539078163750094e+00
1.010094717173748258e+01,3.494747814365600114e+00
9.090856972127333790e+00,3.489189948359760152e+00
8.080759080650469883e+00,3.480182372419250214e+00
7.070653466307219581e+00,3.462550521642079993e+00
6.060574305216380075e+00,3.432653035541669784e+00
5.050459283583502490e+00,3.396622731779630033e+00
4.040372601571692535e+00,3.354267959804050125e+00
3.030298312926628324e+00,3.303480563543729875e+00
2.020193752715072399e+00,3.240427531960170082e+00
1.010102316981182247e+00,3.157826144080179809e+00
0.000000000000000000e+00,3.031911731464980164e+00
